frame,v00,v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
0,0.79,0.87,0.97,1.0,1.0,0.86,0.76,0.76,0.73,0.75,0.96,0.98,1.0,1.0,1.0,0.99,0.96,0.96,0.95,0.96,0.89,0.93,1.0,1.0,1.0,0.92,0.86,0.86,0.85,0.86,0.87,0.92,1.0,1.0,1.0,0.92,0.86,0.86,0.85,0.85,0.85,0.9,0.99,1.0,1.0,0.91,0.84,0.84,0.83,0.83,0.89,0.93,1.0,1.0,1.0,0.93,0.89,0.9,0.89,0.9,0.97,0.98,1.0,1.0,1.0,0.98,0.96,0.96,0.95,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.84,0.97,1.0,1.0,0.87,0.79,0.8,0.78,0.79,0.72,0.82,0.97,1.0,1.0,0.86,0.77,0.78,0.77,0.77
1,0.77,0.84,0.93,0.95,0.96,0.83,0.74,0.74,0.72,0.74,0.92,0.94,0.96,0.96,0.97,0.95,0.93,0.93,0.92,0.93,0.86,0.9,0.96,0.96,0.97,0.9,0.84,0.84,0.84,0.85,0.84,0.89,0.96,0.96,0.97,0.89,0.84,0.84,0.83,0.84,0.84,0.88,0.96,0.97,0.98,0.89,0.83,0.84,0.83,0.83,0.89,0.93,0.99,0.99,0.99,0.93,0.89,0.9,0.89,0.9,0.96,0.97,0.98,0.98,0.99,0.97,0.95,0.95,0.94,0.95,0.98,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.72,0.8,0.92,0.94,0.96,0.84,0.78,0.79,0.77,0.77,0.69,0.78,0.92,0.93,0.95,0.82,0.75,0.77,0.76,0.75
2,0.75,0.8,0.89,0.91,0.92,0.81,0.73,0.73,0.7,0.72,0.89,0.9,0.92,0.92,0.93,0.92,0.89,0.89,0.88,0.89,0.84,0.86,0.93,0.92,0.94,0.87,0.83,0.83,0.82,0.83,0.82,0.86,0.92,0.92,0.93,0.87,0.82,0.82,0.82,0.82,0.83,0.87,0.94,0.94,0.95,0.88,0.83,0.84,0.83,0.83,0.89,0.92,0.98,0.97,0.98,0.92,0.89,0.9,0.9,0.9,0.95,0.95,0.97,0.97,0.97,0.96,0.95,0.95,0.94,0.95,0.95,0.95,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.7,0.76,0.88,0.88,0.91,0.81,0.76,0.77,0.76,0.76,0.65,0.73,0.86,0.87,0.9,0.79,0.74,0.75,0.74,0.74
3,0.73,0.77,0.85,0.86,0.89,0.78,0.71,0.71,0.69,0.71,0.85,0.86,0.89,0.88,0.9,0.88,0.86,0.86,0.85,0.86,0.81,0.83,0.89,0.88,0.91,0.85,0.81,0.81,0.81,0.82,0.79,0.83,0.89,0.88,0.9,0.84,0.8,0.81,0.8,0.81,0.82,0.85,0.91,0.91,0.93,0.86,0.82,0.83,0.83,0.82,0.89,0.92,0.97,0.96,0.96,0.92,0.9,0.9,0.9,0.9,0.94,0.94,0.95,0.95,0.96,0.95,0.94,0.94,0.93,0.94,0.93,0.92,0.92,0.93,0.94,0.93,0.94,0.94,0.94,0.94,0.67,0.72,0.83,0.83,0.87,0.78,0.75,0.76,0.74,0.74,0.62,0.69,0.81,0.8,0.85,0.75,0.72,0.74,0.73,0.72
4,0.71,0.74,0.81,0.81,0.85,0.76,0.7,0.7,0.68,0.7,0.82,0.82,0.85,0.84,0.87,0.85,0.83,0.82,0.82,0.83,0.78,0.8,0.85,0.84,0.87,0.82,0.8,0.8,0.79,0.81,0.77,0.79,0.85,0.84,0.87,0.82,0.78,0.79,0.78,0.79,0.81,0.83,0.89,0.88,0.9,0.85,0.82,0.83,0.83,0.82,0.89,0.91,0.96,0.95,0.95,0.92,0.9,0.9,0.91,0.9,0.93,0.93,0.94,0.94,0.95,0.94,0.93,0.93,0.93,0.93,0.91,0.9,0.89,0.9,0.92,0.91,0.92,0.92,0.92,0.92,0.64,0.68,0.78,0.77,0.83,0.75,0.73,0.75,0.73,0.73,0.59,0.64,0.75,0.73,0.81,0.71,0.71,0.72,0.72,0.71
5,0.69,0.71,0.76,0.76,0.81,0.73,0.68,0.68,0.66,0.68,0.78,0.79,0.81,0.79,0.84,0.81,0.8,0.79,0.79,0.8,0.76,0.77,0.82,0.8,0.84,0.8,0.78,0.78,0.78,0.79,0.74,0.76,0.81,0.79,0.84,0.79,0.76,0.77,0.77,0.78,0.8,0.82,0.86,0.85,0.88,0.83,0.81,0.83,0.82,0.82,0.88,0.91,0.95,0.93,0.94,0.91,0.9,0.91,0.91,0.91,0.92,0.91,0.92,0.92,0.93,0.93,0.92,0.92,0.92,0.92,0.88,0.87,0.87,0.88,0.9,0.89,0.9,0.9,0.9,0.9,0.62,0.65,0.73,0.71,0.78,0.72,0.72,0.73,0.72,0.71,0.56,0.6,0.7,0.67,0.76,0.68,0.69,0.71,0.7,0.69
6,0.67,0.67,0.72,0.72,0.77,0.71,0.67,0.67,0.65,0.67,0.75,0.75,0.77,0.75,0.8,0.78,0.76,0.76,0.75,0.76,0.73,0.73,0.78,0.76,0.81,0.77,0.77,0.77,0.76,0.78,0.72,0.73,0.77,0.75,0.8,0.77,0.74,0.75,0.75,0.76,0.78,0.8,0.84,0.83,0.85,0.82,0.8,0.83,0.82,0.82,0.88,0.9,0.93,0.92,0.93,0.91,0.9,0.91,0.92,0.91,0.9,0.9,0.91,0.91,0.92,0.91,0.92,0.92,0.91,0.92,0.86,0.85,0.84,0.85,0.88,0.87,0.88,0.88,0.88,0.88,0.59,0.61,0.69,0.65,0.74,0.69,0.7,0.72,0.71,0.7,0.52,0.55,0.64,0.6,0.71,0.64,0.68,0.69,0.69,0.68
7,0.65,0.64,0.68,0.67,0.74,0.68,0.65,0.65,0.64,0.66,0.71,0.71,0.74,0.71,0.77,0.74,0.73,0.72,0.72,0.73,0.7,0.7,0.75,0.72,0.78,0.75,0.75,0.75,0.75,0.77,0.69,0.7,0.74,0.71,0.77,0.74,0.72,0.73,0.73,0.75,0.77,0.78,0.81,0.8,0.83,0.8,0.8,0.82,0.82,0.81,0.88,0.9,0.92,0.91,0.92,0.9,0.91,0.91,0.92,0.91,0.89,0.89,0.89,0.89,0.91,0.9,0.91,0.91,0.91,0.91,0.84,0.82,0.81,0.83,0.86,0.85,0.86,0.86,0.86,0.86,0.56,0.57,0.64,0.59,0.69,0.66,0.69,0.71,0.7,0.68,0.49,0.51,0.59,0.53,0.66,0.61,0.66,0.68,0.68,0.66
8,0.63,0.61,0.64,0.62,0.7,0.66,0.63,0.63,0.62,0.64,0.68,0.67,0.7,0.67,0.74,0.71,0.7,0.69,0.69,0.7,0.68,0.67,0.71,0.68,0.75,0.73,0.73,0.73,0.73,0.75,0.67,0.67,0.7,0.67,0.74,0.72,0.7,0.71,0.71,0.73,0.76,0.76,0.79,0.77,0.81,0.78,0.79,0.82,0.82,0.81,0.88,0.89,0.91,0.89,0.9,0.9,0.91,0.91,0.93,0.91,0.88,0.87,0.87,0.87,0.89,0.89,0.9,0.9,0.9,0.9,0.82,0.8,0.79,0.81,0.84,0.83,0.84,0.84,0.84,0.84,0.54,0.53,0.59,0.53,0.65,0.63,0.67,0.69,0.68,0.66,0.46,0.46,0.53,0.47,0.61,0.57,0.64,0.66,0.66,0.64
9,0.62,0.6,0.63,0.61,0.69,0.65,0.63,0.63,0.62,0.64,0.67,0.66,0.69,0.66,0.73,0.7,0.69,0.68,0.68,0.69,0.66,0.65,0.69,0.66,0.73,0.72,0.73,0.73,0.73,0.75,0.66,0.66,0.69,0.66,0.73,0.71,0.71,0.72,0.72,0.73,0.75,0.75,0.77,0.75,0.79,0.78,0.79,0.82,0.82,0.81,0.86,0.87,0.89,0.87,0.88,0.89,0.9,0.9,0.92,0.9,0.85,0.84,0.85,0.84,0.87,0.87,0.88,0.89,0.89,0.89,0.79,0.77,0.76,0.77,0.81,0.81,0.83,0.83,0.83,0.83,0.52,0.51,0.57,0.51,0.63,0.62,0.67,0.69,0.68,0.66,0.45,0.44,0.51,0.44,0.59,0.56,0.64,0.66,0.66,0.64
